date_time,traffic_volume,temp,weather_main
2023-01-01 08:00:00,3500,45.2,Clear
2023-01-01 09:00:00,4200,46.8,Clear
2023-01-01 10:00:00,3800,48.5,Clouds
2023-01-01 11:00:00,3600,50.1,Clear
2023-01-01 12:00:00,4100,52.3,Clear
2023-01-01 13:00:00,4500,53.7,Clouds
2023-01-01 14:00:00,4800,54.2,Clear
2023-01-01 15:00:00,5200,53.9,Clear
2023-01-01 16:00:00,5800,52.5,Clouds
2023-01-01 17:00:00,6200,51.0,Rain
2023-01-01 18:00:00,5900,49.3,Rain
2023-01-01 19:00:00,4700,47.8,Clear
2023-01-01 20:00:00,3900,46.2,Clear
2023-01-01 21:00:00,3200,44.5,Clear
2023-01-01 22:00:00,2800,43.1,Clear
